#UH-60A: elastic axis, , determined from Davis, S.J. - Predesign Study for a Modern 4-Bladed Rotor for the RSRA (1981, NASA)
#mm	mm
0	0
381	0
381.9	-52.71
384.2	-52.71
605.5	-52.71
1048	-52.71
1588	-131.8
2118	-131.8
2543	-131.8
2969	-131.8
3399	-131.8
3825	-131.8
4259	-131.8
4704	-131.8
5149	-131.8
5593	-131.8
6018	-141.7
6421	-141.7
6825	-141.7
7191.8	-131.8
7521	-131.8
7784	-131.8
7979	-131.8
8178	-131.8
