x	l1
0.397408	12.5771
0.407127	12.688
0.417927	12.836
0.427646	12.947
0.437365	13.058
0.447084	13.2059
0.457883	13.3169
0.467603	13.4279
0.477322	13.5758
0.488121	13.6868
0.49784	13.7978
0.507559	13.9457
0.518359	14.0567
0.528078	14.2047
0.537797	14.3527
0.548596	14.4636
0.558315	14.5746
0.568035	14.7596
0.580994	14.9075
0.590713	15.0185
0.601512	15.1665
0.611231	15.3144
0.62095	15.4624
0.63067	15.5734
0.641469	15.7213
0.651188	15.8693
0.660907	16.0173
0.671706	16.1282
0.681425	16.2762
0.691145	16.4242
0.700864	16.5721
0.711663	16.6831
0.721382	16.8311
0.731102	16.942
0.741901	17.09
0.75162	17.238
0.761339	17.349
0.771058	17.4969
0.781857	17.6449
0.791577	17.7928
0.801296	17.9038
0.812095	18.0148
0.821814	18.1628
0.831533	18.2737
0.842333	18.3847
0.852052	18.5327
0.861771	18.6806
0.87257	18.7546
0.87581	18.7546
0.884449	18.9396
0.895248	19.0506
0.904968	19.1615
0.915767	19.2725
0.925486	19.3835
0.936285	19.4575
0.946004	19.5684
0.956803	19.6794
0.966523	19.7904
0.977322	19.8644
0.987041	19.9753
0.99784	20.0493
x	f4
0.0107991	17.5339
0.0215983	17.5339
0.0323974	17.5339
0.0431965	17.5339
0.0539957	17.5709
0.0647948	17.5709
0.075594	17.5709
0.0863931	17.5709
0.0971922	17.5709
0.107991	17.5709
0.11879	17.6079
0.12959	17.6079
0.140389	17.6079
0.150108	17.6449
0.160907	17.6449
0.171706	17.6449
0.182505	17.6819
0.193305	17.6819
0.204104	17.7189
0.214903	17.7189
0.225702	17.7559
0.236501	17.7559
0.24622	17.7928
0.257019	17.7928
0.267819	17.8298
0.278618	17.8668
0.289417	17.8668
0.300216	17.9038
0.311015	17.9038
0.320734	17.9408
0.331533	17.9778
0.342333	18.0148
0.353132	18.0148
0.363931	18.0518
0.37365	18.0888
0.384449	18.1258
0.395248	18.1628
0.406048	18.1628
0.416847	18.1998
0.428726	18.2737
0.439525	18.3107
0.450324	18.3477
0.460043	18.3847
0.470842	18.4217
0.480562	18.4217
0.491361	18.4957
0.50216	18.5327
0.511879	18.5697
0.522678	18.6067
0.533477	18.6436
0.543197	18.6067
0.552916	18.7546
0.563715	18.7916
0.574514	18.8286
0.584233	18.8656
0.595032	18.9396
0.605832	18.9766
0.616631	19.0136
0.62635	19.0875
0.636069	19.1245
0.646868	19.1985
0.657667	19.2355
0.667387	19.3095
0.678186	19.3465
0.688985	19.4205
0.698704	19.4575
0.709503	19.5314
0.719222	19.6054
0.730022	19.6794
0.739741	19.7534
0.75054	19.8274
0.761339	19.8644
0.771058	19.9383
0.774298	19.9014
0.784017	20.0493
0.794816	20.0863
0.804536	20.1603
0.815335	20.2343
0.826134	20.3083
0.835853	20.3822
0.846652	20.4562
0.856371	20.5302
0.867171	20.6042
0.87689	20.6782
0.887689	20.7152
0.897408	20.7891
0.908207	20.8261
0.919006	20.8631
0.929806	20.8631
0.940605	20.8631
0.951404	20.9001
0.962203	20.9001
0.971922	20.8631
0.982721	20.9371
0.993521	20.9371
x	t1
0.0107991	20.5672
0.0215983	20.5672
0.0323974	20.5672
0.0431965	20.5672
0.0539957	20.5672
0.0647948	20.5672
0.075594	20.5672
0.0863931	20.5672
0.0971922	20.5672
0.107991	20.5672
0.11879	20.5672
0.12959	20.5672
0.140389	20.5672
0.151188	20.5672
0.160907	20.6042
0.171706	20.6042
0.182505	20.6042
0.193305	20.6042
0.204104	20.6042
0.214903	20.6042
0.225702	20.6042
0.236501	20.6042
0.2473	20.6042
0.258099	20.6042
0.268898	20.6412
0.279698	20.6412
0.290497	20.6412
0.301296	20.6412
0.312095	20.6412
0.322894	20.6412
0.333693	20.6412
0.344492	20.6412
0.355292	20.6412
0.366091	20.6412
0.37689	20.6412
0.387689	20.6412
0.398488	20.6782
0.409287	20.6782
0.420086	20.6782
0.430886	20.6782
0.441685	20.6782
0.452484	20.6782
0.463283	20.6782
0.474082	20.6782
0.484881	20.6782
0.49568	20.7152
0.506479	20.7152
0.517279	20.7152
0.528078	20.7152
0.538877	20.7152
0.549676	20.7152
0.560475	20.7152
0.571274	20.7152
0.582073	20.7522
0.592873	20.7522
0.603672	20.7522
0.613391	20.7522
0.62419	20.7522
0.634989	20.7522
0.645788	20.7522
0.656587	20.7891
0.667387	20.7891
0.678186	20.7891
0.688985	20.7891
0.699784	20.7891
0.710583	20.7891
0.721382	20.8261
0.732181	20.8261
0.742981	20.8261
0.75378	20.8261
0.764579	20.8261
0.774298	20.8631
0.785097	20.8631
0.795896	20.8631
0.806695	20.9001
0.808855	20.8261
0.818575	20.9001
0.829374	20.9371
0.840173	20.9741
0.850972	21.0111
0.861771	21.0481
0.87149	21.0851
0.882289	21.1221
0.893089	21.1221
0.903888	21.1961
0.913607	21.307
0.924406	21.418
0.934125	21.529
0.943844	21.64
0.954644	21.7509
0.964363	21.8989
0.975162	22.0099
0.984881	22.1208
0.99568	22.2318
x	f5
0.0107991	21.0481
0.0215983	21.0851
0.0323974	21.0851
0.0431965	21.1221
0.0539957	21.1221
0.0637149	21.1591
0.074514	21.1591
0.0853132	21.1961
0.0961123	21.1961
0.106911	21.233
0.117711	21.27
0.12743	21.344
0.138229	21.381
0.147948	21.455
0.158747	21.492
0.169546	21.529
0.179266	21.603
0.190065	21.64
0.200864	21.6769
0.210583	21.7879
0.221382	21.8619
0.231102	21.9359
0.241901	22.0099
0.25162	22.1208
0.262419	22.1948
0.272138	22.2688
0.282937	22.3798
0.292657	22.4538
0.303456	22.5277
0.313175	22.6387
0.322894	22.7497
0.333693	22.8607
0.343413	22.9716
0.354212	23.0826
0.363931	23.1936
0.37473	23.3046
0.384449	23.4525
0.394168	23.5635
0.404968	23.6745
0.414687	23.7855
0.424406	23.9334
0.435205	24.0814
0.444924	24.1924
0.454644	24.3403
0.465443	24.4883
0.475162	24.5993
0.484881	24.7472
0.4946	24.8952
0.5054	25.0062
0.515119	25.1911
0.524838	25.3391
0.534557	25.4871
0.544276	25.635
0.553996	25.783
0.563715	25.9309
0.574514	26.0789
0.584233	26.2269
0.593952	26.3748
0.603672	26.5598
0.613391	26.7078
0.62203	26.8927
0.62743	26.9297
0.637149	27.1147
0.646868	27.2626
0.656587	27.4476
0.666307	27.5956
0.676026	27.7805
0.685745	27.9285
0.694384	28.1134
0.704104	28.2614
0.713823	28.4464
0.723542	28.5943
0.733261	28.7793
0.742981	28.9642
0.7527	29.0752
0.761339	29.2972
0.771058	29.4451
0.780778	29.6301
0.789417	29.815
