AREA_R200	
1.000000000	0.000000000
0.999534689	0.003305724
0.997598134	0.005840069
0.995083117	0.007839072
0.992451250	0.009676323
0.989547455	0.011051989
0.986591812	0.012313698
0.983619210	0.013543682
0.980639510	0.014742283
0.977648620	0.015915463
0.974648558	0.017066541
0.971639191	0.018200386
0.968630759	0.019324998
0.965619083	0.020446966
0.962612382	0.021580567
0.959611904	0.022731349
0.956616905	0.023894385
0.953620918	0.025058770
0.950625118	0.026222528
0.944631736	0.028544248
0.938632730	0.030851495
0.932625040	0.033136016
0.926605783	0.035389869
0.920578285	0.037603439
0.914524715	0.039775071
0.908448878	0.041877710
0.902347924	0.043901171
0.896207870	0.045801026
0.890028144	0.047567594
0.883813738	0.049208030
0.877569113	0.050729432
0.871298244	0.052138811
0.865004658	0.053443071
0.858691482	0.054649008
0.852361476	0.055763310
0.846017075	0.056792563
0.839660420	0.057743273
0.833293390	0.058621879
0.826917631	0.059434777
0.820534581	0.060188347
0.814145500	0.060888976
0.807751485	0.061543082
0.801353496	0.062157145
0.794952381	0.062737728
0.788548890	0.063291520
0.782143706	0.063825387
0.775739200	0.064346260
0.769330798	0.064862216
0.762924264	0.065379860
0.756517875	0.065900001
0.750111705	0.066422512
0.743705781	0.066947263
0.737300038	0.067474125
0.730894418	0.068002960
0.724488868	0.068533625
0.718083354	0.069065969
0.711678092	0.069599811
0.705271767	0.070135093
0.698867147	0.070671411
0.692462518	0.071208725
0.686057834	0.071746853
0.679653057	0.072285605
0.673248272	0.072824773
0.666843866	0.073364120
0.660439704	0.073903443
0.654035615	0.074442541
0.647631451	0.074981200
0.641227085	0.075519202
0.634822411	0.076056319
0.628417341	0.076592317
0.622011805	0.077126953
0.615605750	0.077659979
0.609199398	0.078191117
0.602793461	0.078720043
0.596387715	0.079246505
0.589981904	0.079770250
0.583575816	0.080291014
0.577169282	0.080808523
0.570762168	0.081322496
0.564354578	0.081832628
0.557947222	0.082338559
0.551539849	0.082840004
0.545132078	0.083336678
0.538723566	0.083828292
0.532314620	0.084314498
0.525905158	0.084794965
0.519495200	0.085269332
0.513084762	0.085737226
0.506673864	0.086198270
0.500262526	0.086652079
0.493850681	0.087098267
0.487438237	0.087536442
0.481025222	0.087966195
0.474611646	0.088387113
0.468197458	0.088798777
0.461782584	0.089200760
0.455367100	0.089592620
0.448951093	0.089973903
0.442534472	0.090344157
0.436111081	0.090703252
0.429696946	0.091049825
0.423281452	0.091383984
0.416864552	0.091705225
0.410446257	0.092013027
0.404026637	0.092306850
0.397598910	0.092586428
0.391176942	0.092850588
0.384754350	0.093099030
0.378331149	0.093331149
0.371907357	0.093546325
0.365483001	0.093743920
0.359064134	0.093923117
