Time, rotorL_beta_b1, Inflow(0), Inflow(1), Inflow(2), Inflow(3), Inflow(4), Inflow(5), X_e(0), X_e(1), X_e(2), alpha(0), alpha(1), alpha(2), v_b(0), v_b(1), v_b(2), omega_b(0), omega_b(1), omega_b(2), 
0.038, -3.13411, 0.00572479, 0.00105019, 0.000118439, 0.00572287, -0.000743894, 0.000118127, -0.000100336, -0.000118706, -9.99908, -0.0844317, -0.185491, 0.000321572, -0.00601147, -0.00168532, -0.17055, -1.45567, -15.8371, -2.52362, 
0.04, -3.18067, 0.0060485, 0.00105077, 8.44732e-05, 0.0060457, -0.000764625, 8.49324e-05, -0.000112214, -0.000120801, -9.99945, -0.0860387, -0.218167, -0.00463366, -0.00717417, 0.000140163, -0.199084, -0.168768, -16.8309, -2.48026, 
0.042, -3.20796, 0.00637748, 0.0010449, 5.55587e-05, 0.00637388, -0.000780956, 5.64683e-05, -0.000125958, -0.000119432, -9.99988, -0.0851124, -0.252785, -0.00925929, -0.00832646, 0.0018632, -0.226878, 1.07607, -17.7805, -2.19709, 
0.044, -3.21573, 0.0067104, 0.00103402, 3.06171e-05, 0.00670614, -0.000793007, 3.15473e-05, -0.000141459, -0.000114965, -10.0004, -0.0818652, -0.289253, -0.0130913, -0.00945461, 0.00330052, -0.253689, 2.15306, -18.6817, -1.68805, 
0.046, -3.20387, 0.00704589, 0.00101879, 8.1071e-06, 0.00704116, -0.000801265, 8.5788e-06, -0.000158633, -0.000108102, -10.0009, -0.0767467, -0.32745, -0.0157153, -0.0105952, 0.00429462, -0.279319, 2.95135, -19.5115, -0.988798, 
0.048, -3.17261, 0.0073826, 0.000998909, -1.38301e-05, 0.00737759, -0.000806325, -1.42825e-05, -0.0001775, -9.98271e-05, -10.0015, -0.0704082, -0.367199, -0.0168068, -0.011814, 0.00472267, -0.303617, 3.38065, -20.2361, -0.153746, 
0.05, -3.1226, 0.00771916, 0.000973489, -3.61345e-05, 0.00771411, -0.00080873, -3.79008e-05, -0.000198216, -9.13263e-05, -10.0021, -0.0636513, -0.408259, -0.0161662, -0.0131742, 0.0045085, -0.326487, 3.38071, -20.8244, 0.746333, 
0.052, -3.05497, 0.00805421, 0.000941272, -5.91179e-05, 0.0080494, -0.00080837, -6.24468e-05, -0.000221032, -8.38842e-05, -10.0028, -0.0573566, -0.450343, -0.0137468, -0.0147032, 0.00363896, -0.347883, 2.93216, -21.262, 1.62859, 
0.054, -2.97137, 0.00838651, 0.000901018, -8.22708e-05, 0.00838213, -0.000805468, -8.72038e-05, -0.000246203, -7.8748e-05, -10.0035, -0.0523919, -0.493162, -0.00967084, -0.0163673, 0.00217701, -0.367798, 2.06617, -21.5611, 2.40626, 
0.056, -2.87396, 0.00871489, 0.000851997, -0.000104212, 0.00871104, -0.00080039, -0.000110529, -0.000273857, -7.69772e-05, -10.0043, -0.0495091, -0.536481, -0.00422491, -0.0180677, 0.000260675, -0.386252, 0.865538, -21.7625, 3.00101, 
0.058, -2.76529, 0.0090383, 0.00079445, -0.000122877, 0.00903498, -0.000793668, -0.000130076, -0.000303886, -7.93145e-05, -10.005, -0.0492543, -0.580163, 0.00216981, -0.0196617, -0.00191799, -0.403275, -0.548395, -21.9257, 3.35585, 
0.06, -2.64805, 0.00935583, 0.000729867, -0.000135962, 0.009353, -0.000785672, -0.000143291, -0.000335906, -8.61111e-05, -10.0059, -0.0519141, -0.624195, 0.00900833, -0.0210055, -0.00414933, -0.418903, -2.03946, -22.1116, 3.44352, 
