Time, rotorL_beta_b1, Inflow(0), Inflow(1), Inflow(2), Inflow(3), Inflow(4), Inflow(5), X_e(0), X_e(1), X_e(2), alpha(0), alpha(1), alpha(2), v_b(0), v_b(1), v_b(2), omega_b(0), omega_b(1), omega_b(2), 
0.628, -1.01738, 0.0212901, -0.000263771, 0.00129956, 0.0213378, 0.000427669, 0.00130345, 0.0834054, -0.0079156, -10.3346, -0.135493, -6.33615, 0.0449123, 0.332369, -0.02226, -0.489852, 0.966893, -0.301357, 2.61888, 
0.63, -1.06191, 0.0212944, -0.000246801, 0.00131788, 0.0213431, 0.000432648, 0.00131989, 0.0841761, -0.00796327, -10.3355, -0.135103, -6.33667, 0.0501041, 0.334325, -0.023735, -0.489111, -0.00343218, -0.235809, 2.5399, 
0.632, -1.10686, 0.0212988, -0.00022507, 0.00133296, 0.0213482, 0.000438923, 0.00133318, 0.0849507, -0.00801368, -10.3364, -0.136564, -6.33713, 0.0549737, 0.336439, -0.0250728, -0.488378, -0.920781, -0.236781, 2.29893, 
0.634, -1.15124, 0.0213033, -0.000199378, 0.00134382, 0.0213532, 0.000445115, 0.00134245, 0.0857295, -0.00806653, -10.3373, -0.139683, -6.33766, 0.0592134, 0.338694, -0.0261964, -0.487633, -1.72958, -0.296618, 1.9135, 
0.636, -1.1943, 0.0213078, -0.000171129, 0.00134969, 0.0213581, 0.000449887, 0.00134704, 0.0865127, -0.00812135, -10.3382, -0.144162, -6.33834, 0.0625563, 0.341041, -0.0270419, -0.486863, -2.38045, -0.394613, 1.40732, 
0.638, -1.23561, 0.0213124, -0.000142179, 0.00135026, 0.0213629, 0.000452029, 0.00134673, 0.0873004, -0.00817756, -10.3391, -0.149618, -6.33923, 0.0647897, 0.343413, -0.0275566, -0.486061, -2.82885, -0.50272, 0.810084, 
0.64, -1.27488, 0.0213171, -0.00011467, 0.0013458, 0.0213676, 0.000450575, 0.00134185, 0.0880927, -0.00823451, -10.34, -0.155592, -6.34032, 0.0657671, 0.345745, -0.0277016, -0.485228, -3.03793, -0.592556, 0.158424, 
0.642, -1.31192, 0.0213219, -9.07348e-05, 0.00133729, 0.0213721, 0.000444934, 0.00133341, 0.0888893, -0.00829144, -10.3409, -0.161578, -6.34156, 0.065423, 0.347986, -0.0274617, -0.484374, -2.98555, -0.642942, -0.50387, 
0.644, -1.34654, 0.0213267, -7.2168e-05, 0.00132628, 0.0213766, 0.000434965, 0.00132297, 0.0896901, -0.00834763, -10.3418, -0.167055, -6.34285, 0.0637846, 0.350117, -0.0268551, -0.483516, -2.67243, -0.646432, -1.12819, 
0.646, -1.37838, 0.0213315, -6.01235e-05, 0.00131478, 0.021381, 0.000420961, 0.00131251, 0.0904949, -0.0084024, -10.3427, -0.171544, -6.34412, 0.0609764, 0.352162, -0.0259391, -0.482669, -2.12703, -0.61221, -1.66647, 
0.648, -1.40694, 0.0213363, -5.49256e-05, 0.00130488, 0.0213853, 0.000403484, 0.00130404, 0.0913035, -0.00845523, -10.3435, -0.174658, -6.34531, 0.0572123, 0.354175, -0.0248056, -0.481844, -1.40317, -0.563103, -2.07821, 
0.65, -1.43153, 0.0213412, -5.60588e-05, 0.00129842, 0.0213897, 0.000383168, 0.00129929, 0.092116, -0.00850577, -10.3444, -0.176141, -6.34641, 0.0527739, 0.356223, -0.0235652, -0.481044, -0.570434, -0.527031, -2.33638, 
0.652, -1.45136, 0.0213459, -6.23576e-05, 0.00129678, 0.021394, 0.000360631, 0.00129955, 0.0929325, -0.0085539, -10.3453, -0.175884, -6.34748, 0.0479818, 0.358358, -0.0223299, -0.48026, 0.298063, -0.526516, -2.42957, 
0.654, -1.46562, 0.0213506, -7.22307e-05, 0.00130075, 0.0213984, 0.00033651, 0.00130546, 0.0937532, -0.0085997, -10.3462, -0.173919, -6.34859, 0.0431659, 0.360605, -0.0211996, -0.47948, 1.13421, -0.571061, -2.36016, 
0.656, -1.47361, 0.0213552, -8.39346e-05, 0.0013105, 0.0214028, 0.000311565, 0.00131708, 0.0945783, -0.00864345, -10.347, -0.170407, -6.34983, 0.0386408, 0.362948, -0.0202591, -0.478688, 1.87735, -0.65501, -2.14094, 
0.658, -1.47478, 0.0213597, -9.57615e-05, 0.00132576, 0.0214072, 0.000286769, 0.00133401, 0.095408, -0.00868556, -10.3479, -0.165619, -6.35126, 0.034687, 0.365343, -0.0195797, -0.477871, 2.47317, -0.760178, -1.79273, 
0.66, -1.46881, 0.0213642, -0.000106154, 0.00134587, 0.0214117, 0.00026332, 0.00135551, 0.0962422, -0.00872659, -10.3488, -0.159924, -6.35289, 0.0315356, 0.367729, -0.0192196, -0.477025, 2.87362, -0.861362, -1.34396, 
0.662, -1.45565, 0.0213685, -0.000113802, 0.00136981, 0.0214163, 0.000242557, 0.00138048, 0.0970809, -0.0087672, -10.3496, -0.153768, -6.35469, 0.0293519, 0.370045, -0.0192196, -0.476152, 3.04066, -0.93342, -0.831192, 
0.664, -1.43554, 0.0213727, -0.000117718, 0.00139633, 0.0214209, 0.000225813, 0.00140762, 0.097924, -0.00880809, -10.3505, -0.147648, -6.35658, 0.0282201, 0.372249, -0.0195935, -0.475265, 2.95352, -0.958865, -0.298652, 
0.666, -1.40904, 0.0213769, -0.000117267, 0.00142404, 0.0214255, 0.000214211, 0.00143553, 0.0987711, -0.00884998, -10.3514, -0.142068, -6.35848, 0.0281306, 0.374331, -0.0203183, -0.474378, 2.61655, -0.934091, 0.204844, 
0.668, -1.37702, 0.0213811, -0.000112125, 0.00145161, 0.0214301, 0.000208447, 0.00146292, 0.0996222, -0.00889352, -10.3522, -0.137483, -6.36028, 0.0289768, 0.376321, -0.0213307, -0.473507, 2.06287, -0.871505, 0.631786, 
0.67, -1.34063, 0.0213852, -0.000102174, 0.00147786, 0.0214347, 0.000208622, 0.00148864, 0.100477, -0.00893919, -10.3531, -0.134245, -6.36194, 0.0305655, 0.378276, -0.0225333, -0.472663, 1.3507, -0.795556, 0.943196, 
0.672, -1.30113, 0.0213893, -8.74341e-05, 0.00150172, 0.0214393, 0.000214213, 0.00151174, 0.101336, -0.00898726, -10.3539, -0.132572, -6.36347, 0.0326392, 0.380262, -0.0238117, -0.471845, 0.552716, -0.733479, 1.1142, 
0.674, -1.25981, 0.0213935, -6.81084e-05, 0.00152225, 0.0214438, 0.000224155, 0.00153137, 0.102198, -0.00903779, -10.3548, -0.132526, -6.3649, 0.0349064, 0.382328, -0.0250522, -0.471044, -0.256256, -0.704863, 1.13564, 
0.676, -1.2178, 0.0213977, -4.47673e-05, 0.00153849, 0.0214482, 0.000237009, 0.0015467, 0.103064, -0.00909064, -10.3556, -0.13403, -6.36632, 0.0370705, 0.384486, -0.0261539, -0.470246, -1.00715, -0.714758, 1.01188, 
0.678, -1.17598, 0.0214019, -1.84043e-05, 0.00154965, 0.0214525, 0.000251149, 0.00155703, 0.103935, -0.00914547, -10.3565, -0.136873, -6.36778, 0.0388543, 0.386713, -0.0270311, -0.469435, -1.63849, -0.752608, 0.757478, 
0.68, -1.13499, 0.0214062, 9.4736e-06, 0.00155518, 0.0214568, 0.000264905, 0.00156192, 0.10481, -0.00920179, -10.3573, -0.140736, -6.36932, 0.0400179, 0.388955, -0.0276118, -0.468601, -2.09541, -0.795922, 0.3952, 
0.682, -1.09525, 0.0214105, 3.6929e-05, 0.00155498, 0.0214609, 0.000276695, 0.00156136, 0.105689, -0.00925896, -10.3582, -0.145202, -6.37094, 0.0403753, 0.391147, -0.0278388, -0.467743, -2.33058, -0.816762, -0.0441199, 
0.684, -1.05704, 0.021415, 6.18081e-05, 0.00154959, 0.021465, 0.000285187, 0.00155595, 0.106573, -0.00931626, -10.359, -0.149779, -6.37254, 0.0398106, 0.393229, -0.0276758, -0.466865, -2.30916, -0.789697, -0.521136, 
0.686, -1.02063, 0.0214194, 8.20577e-05, 0.00154019, 0.021469, 0.000289462, 0.00154689, 0.10746, -0.00937292, -10.3599, -0.153937, -6.37404, 0.038295, 0.395166, -0.0271187, -0.465983, -2.01716, -0.699957, -0.989071, 
0.688, -0.986332, 0.0214239, 9.60475e-05, 0.00152854, 0.0214731, 0.000289102, 0.00153592, 0.10835, -0.00942819, -10.3607, -0.157157, -6.37529, 0.0358967, 0.396963, -0.0262046, -0.465115, -1.46912, -0.549505, -1.39778, 
0.69, -0.954652, 0.0214284, 0.00010285, 0.00151672, 0.0214771, 0.000284151, 0.0015251, 0.109244, -0.00948144, -10.3615, -0.158991, -6.37621, 0.0327815, 0.398666, -0.0250142, -0.464277, -0.710355, -0.358033, -1.70072, 
0.692, -0.926276, 0.0214329, 0.000102405, 0.00150683, 0.0214811, 0.000274951, 0.00151644, 0.110141, -0.00953221, -10.3624, -0.159113, -6.37674, 0.0291973, 0.40035, -0.0236606, -0.463478, 0.189376, -0.157175, -1.86272, 
0.694, -0.902051, 0.0214373, 9.54719e-05, 0.00150063, 0.0214852, 0.000261987, 0.00151158, 0.111042, -0.00958027, -10.3632, -0.157359, -6.37688, 0.0254466, 0.402092, -0.0222699, -0.462716, 1.14896, 0.0204176, -1.86517, 
0.696, -0.882885, 0.0214417, 8.3407e-05, 0.00149937, 0.0214893, 0.000245829, 0.00151167, 0.111945, -0.00962563, -10.364, -0.153721, -6.37672, 0.0218523, 0.403946, -0.0209608, -0.46198, 2.08935, 0.152232, -1.70647, 
0.698, -0.869643, 0.021446, 6.7905e-05, 0.00150377, 0.0214936, 0.000227207, 0.00151729, 0.112853, -0.00966854, -10.3649, -0.148343, -6.37634, 0.0187269, 0.405924, -0.0198338, -0.461251, 2.94114, 0.232235, -1.39856, 
0.7, -0.863035, 0.0214501, 5.07874e-05, 0.001514, 0.0214979, 0.000207098, 0.00152851, 0.113764, -0.0097094, -10.3657, -0.141493, -6.37585, 0.0163497, 0.408001, -0.0189706, -0.460513, 3.64504, 0.27088, -0.962717, 
0.702, -0.863556, 0.0214542, 3.38451e-05, 0.00152982, 0.0215023, 0.000186767, 0.00154499, 0.114679, -0.00974876, -10.3665, -0.133543, -6.37529, 0.0149498, 0.410121, -0.018437, -0.459755, 4.14982, 0.290435, -0.427174, 
0.704, -0.871435, 0.0214582, 1.87481e-05, 0.00155062, 0.0215068, 0.000167706, 0.00156605, 0.115599, -0.00978732, -10.3673, -0.124952, -6.37468, 0.0146927, 0.41222, -0.0182834, -0.458975, 4.41246, 0.317956, 0.173055, 
0.706, -0.886603, 0.021462, 6.9557e-06, 0.00157543, 0.0215114, 0.00015147, 0.00159068, 0.116522, -0.00982583, -10.3681, -0.116245, -6.37398, 0.0156661, 0.414238, -0.0185391, -0.458178, 4.40271, 0.377227, 0.7958, 
0.708, -0.908666, 0.0214658, -3.68194e-07, 0.00160299, 0.0215161, 0.000139477, 0.00161759, 0.117449, -0.00986509, -10.369, -0.107976, -6.37312, 0.0178667, 0.416146, -0.0192024, -0.45738, 4.11069, 0.480892, 1.39286, 
0.71, -0.936891, 0.0214695, -2.39476e-06, 0.0016319, 0.0215208, 0.000132773, 0.00164542, 0.118379, -0.00990587, -10.3698, -0.100681, -6.37201, 0.0211921, 0.417952, -0.0202322, -0.456596, 3.55375, 0.624966, 1.91401, 
0.712, -0.970227, 0.0214732, 1.39984e-06, 0.00166073, 0.0215255, 0.000131816, 0.00167278, 0.119313, -0.00994883, -10.3706, -0.0948208, -6.37059, 0.0254437, 0.419706, -0.0215477, -0.455842, 2.77782, 0.788496, 2.31367, 
0.714, -1.00739, 0.0214769, 1.13009e-05, 0.00168814, 0.0215303, 0.000136364, 0.00169844, 0.12025, -0.00999443, -10.3714, -0.0907359, -6.36885, 0.0303427, 0.421484, -0.0230395, -0.455127, 1.85054, 0.939754, 2.55795, 
0.716, -1.04697, 0.0214806, 2.73223e-05, 0.00171282, 0.0215349, 0.000145487, 0.0017212, 0.12119, -0.0100429, -10.3722, -0.0886153, -6.36686, 0.0355588, 0.423363, -0.0245884, -0.454445, 0.848622, 1.04706, 2.62904, 
0.718, -1.08765, 0.0214843, 4.91913e-05, 0.00173353, 0.0215395, 0.000157723, 0.00173996, 0.122135, -0.0100944, -10.373, -0.0884956, -6.36471, 0.0407414, 0.425394, -0.0260836, -0.453783, -0.15426, 1.08937, 2.52495, 
0.72, -1.12829, 0.0214881, 7.61273e-05, 0.00174909, 0.021544, 0.000171315, 0.00175366, 0.123083, -0.0101486, -10.3738, -0.090276, -6.36255, 0.0455485, 0.42759, -0.0274312, -0.453124, -1.09333, 1.06215, 2.25586, 
0.722, -1.16803, 0.0214919, 0.00010675, 0.0017585, 0.0215484, 0.000184393, 0.00176143, 0.124036, -0.0102053, -10.3746, -0.0937375, -6.36051, 0.0496666, 0.429923, -0.0285527, -0.452448, -1.91188, 0.97736, 1.84017, 
0.724, -1.20633, 0.0214958, 0.000139083, 0.00176118, 0.0215527, 0.000195123, 0.00176279, 0.124993, -0.0102638, -10.3754, -0.0985576, -6.35867, 0.0528257, 0.432336, -0.0293813, -0.451742, -2.55836, 0.859266, 1.30261, 
0.726, -1.2429, 0.0214998, 0.000170729, 0.00175715, 0.0215568, 0.000201859, 0.00175788, 0.125954, -0.0103238, -10.3762, -0.104322, -6.35707, 0.0548125, 0.434758, -0.0298603, -0.451002, -2.98607, 0.738203, 0.674722, 
0.728, -1.27761, 0.0215039, 0.000199144, 0.00174722, 0.0215608, 0.00020336, 0.00174754, 0.126921, -0.0103844, -10.377, -0.11054, -6.35568, 0.0554847, 0.437119, -0.0299494, -0.450231, -3.15768, 0.643002, -0.00399961, 
0.73, -1.3104, 0.021508, 0.000221977, 0.00173292, 0.0215647, 0.000198913, 0.00173336, 0.127892, -0.0104448, -10.3778, -0.116674, -6.35445, 0.0547876, 0.439375, -0.0296353, -0.449442, -3.05346, 0.593089, -0.686437, 
0.732, -1.34113, 0.0215122, 0.000237428, 0.00171646, 0.0215685, 0.000188448, 0.00171753, 0.128866, -0.0105043, -10.3786, -0.122183, -6.35327, 0.0527651, 0.441515, -0.0289429, -0.448651, -2.67961, 0.592231, -1.32112, 
0.734, -1.3695, 0.0215165, 0.000244548, 0.00170039, 0.0215723, 0.000172477, 0.00170257, 0.129845, -0.0105623, -10.3794, -0.126581, -6.35205, 0.0495631, 0.443573, -0.0279384, -0.447874, -2.07184, 0.626871, -1.85856, 
0.736, -1.39502, 0.0215208, 0.000243387, 0.00168722, 0.021576, 0.000151892, 0.00169093, 0.130828, -0.0106181, -10.3802, -0.129485, -6.35077, 0.0454175, 0.44561, -0.0267215, -0.447121, -1.29074, 0.670926, -2.25874, 
0.738, -1.417, 0.021525, 0.000234931, 0.0016791, 0.0215797, 0.000127709, 0.00168461, 0.131815, -0.0106715, -10.381, -0.130656, -6.34941, 0.0406298, 0.447695, -0.0254085, -0.446391, -0.410417, 0.69574, -2.4965, 
0.74, -1.43465, 0.0215292, 0.000220871, 0.00167753, 0.0215834, 0.000100964, 0.00168501, 0.132806, -0.0107224, -10.3818, -0.13001, -6.34805, 0.0355363, 0.449877, -0.0241132, -0.445676, 0.493721, 0.680721, -2.56267, 
0.742, -1.44716, 0.0215333, 0.000203303, 0.00168328, 0.0215871, 7.27346e-05, 0.00169277, 0.133801, -0.0107709, -10.3826, -0.127604, -6.34676, 0.0304781, 0.452169, -0.0229369, -0.44496, 1.35227, 0.619894, -2.46156, 
0.744, -1.45386, 0.0215374, 0.000184453, 0.00169646, 0.0215908, 4.42211e-05, 0.00170787, 0.1348, -0.0108173, -10.3834, -0.12363, -6.34562, 0.0257776, 0.45455, -0.0219665, -0.444227, 2.10298, 0.522729, -2.20762, 
0.746, -1.4542, 0.0215413, 0.000166467, 0.00171657, 0.0215946, 1.67966e-05, 0.00172967, 0.135804, -0.010862, -10.3841, -0.118389, -6.3447, 0.0217196, 0.456966, -0.0212761, -0.443468, 2.68956, 0.410504, -1.82358, 
0.748, -1.44788, 0.0215452, 0.000151249, 0.00174256, 0.0215985, -8.01996e-06, 0.00175705, 0.136813, -0.0109056, -10.3849, -0.112284, -6.34398, 0.0185345, 0.459353, -0.0209263, -0.442679, 3.06272, 0.310056, -1.34062, 
0.75, -1.43486, 0.0215489, 0.000140347, 0.001773, 0.0216024, -2.86638e-05, 0.00178849, 0.137826, -0.0109489, -10.3857, -0.105798, -6.34343, 0.0163809, 0.461651, -0.0209572, -0.441866, 3.18542, 0.246097, -0.798739, 
0.752, -1.41542, 0.0215526, 0.000134855, 0.00180615, 0.0216064, -4.36906e-05, 0.00182221, 0.138843, -0.0109925, -10.3865, -0.0994556, -6.34295, 0.0153291, 0.463824, -0.0213779, -0.441042, 3.04109, 0.233366, -0.245713, 
0.754, -1.39014, 0.0215562, 0.000135388, 0.00184017, 0.0216103, -5.19949e-05, 0.00185636, 0.139865, -0.0110372, -10.3872, -0.0937755, -6.34245, 0.0153497, 0.465873, -0.0221566, -0.440223, 2.64121, 0.270941, 0.267038, 
0.756, -1.35993, 0.0215598, 0.000142127, 0.0018733, 0.0216143, -5.30352e-05, 0.00188921, 0.14089, -0.0110837, -10.388, -0.0892135, -6.34184, 0.016313, 0.46784, -0.0232195, -0.439426, 2.02719, 0.341641, 0.691284, 
0.758, -1.32592, 0.0215633, 0.000154997, 0.001904, 0.0216183, -4.69825e-05, 0.00191929, 0.141919, -0.0111325, -10.3888, -0.0861088, -6.34107, 0.0180028, 0.469789, -0.024461, -0.438658, 1.26416, 0.417942, 0.989399, 
0.76, -1.28937, 0.0215669, 0.000173696, 0.00193094, 0.0216222, -3.47096e-05, 0.00194538, 0.142951, -0.0111836, -10.3896, -0.0846523, -6.34018, 0.0201432, 0.471786, -0.0257623, -0.437916, 0.428764, 0.472494, 1.13919, 
0.762, -1.25144, 0.0215704, 0.0001976, 0.00195291, 0.0216261, -1.77112e-05, 0.00196638, 0.143988, -0.0112373, -10.3903, -0.0848788, -6.33922, 0.0224292, 0.473875, -0.0270086, -0.437188, -0.402879, 0.488357, 1.13431, 
0.764, -1.21316, 0.021574, 0.000225677, 0.00196888, 0.0216299, 2.12512e-06, 0.00198136, 0.145028, -0.0112933, -10.3911, -0.0866779, -6.33826, 0.0245565, 0.476058, -0.0280993, -0.436458, -1.16136, 0.464524, 0.981415, 
0.766, -1.17526, 0.0215777, 0.000256386, 0.00197807, 0.0216337, 2.26976e-05, 0.00198967, 0.146073, -0.0113512, -10.3918, -0.0898102, -6.33738, 0.0262438, 0.478301, -0.0289478, -0.435714, -1.78463, 0.415519, 0.696932, 
0.768, -1.13824, 0.0215814, 0.000287668, 0.00198011, 0.0216373, 4.18632e-05, 0.00199105, 0.147122, -0.0114106, -10.3926, -0.0939231, -6.33659, 0.0272514, 0.480546, -0.0294809, -0.434944, -2.21703, 0.366679, 0.305688, 
0.77, -1.10236, 0.0215852, 0.000317119, 0.00197529, 0.0216408, 5.76457e-05, 0.00198587, 0.148176, -0.0114707, -10.3934, -0.0985676, -6.33588, 0.027398, 0.482725, -0.0296409, -0.434149, -2.41136, 0.346983, -0.158783, 
0.772, -1.0678, 0.021589, 0.000342264, 0.00196463, 0.0216443, 6.84614e-05, 0.0019752, 0.149233, -0.0115307, -10.3941, -0.103224, -6.33515, 0.0265789, 0.484778, -0.0293944, -0.433338, -2.33532, 0.380612, -0.653954, 
0.774, -1.03475, 0.0215929, 0.000360903, 0.00194986, 0.0216477, 7.33242e-05, 0.0019608, 0.150294, -0.01159, -10.3949, -0.107342, -6.3343, 0.0247823, 0.486681, -0.0287439, -0.432527, -1.98048, 0.478796, -1.13013, 
0.776, -1.00348, 0.0215968, 0.000371462, 0.0019333, 0.0216511, 7.19497e-05, 0.00194498, 0.151359, -0.0116477, -10.3956, -0.110395, -6.33319, 0.0220981, 0.488449, -0.0277366, -0.431734, -1.36925, 0.634656, -1.53558, 
0.778, -0.974489, 0.0216007, 0.000373273, 0.00191752, 0.0216545, 6.46084e-05, 0.00193025, 0.152426, -0.0117032, -10.3964, -0.111946, -6.33174, 0.0187148, 0.49014, -0.0264633, -0.430974, -0.55499, 0.823999, -1.82421, 
0.78, -0.948467, 0.0216047, 0.000366665, 0.00190496, 0.021658, 5.19578e-05, 0.00191897, 0.153497, -0.011756, -10.3971, -0.111694, -6.32991, 0.0149005, 0.491832, -0.025044, -0.430254, 0.386842, 1.01306, -1.96327, 
0.782, -0.926267, 0.0216085, 0.000352851, 0.00189758, 0.0216615, 3.48551e-05, 0.00191297, 0.154571, -0.0118061, -10.3979, -0.109501, -6.32773, 0.0109717, 0.493602, -0.023607, -0.429567, 1.37287, 1.17038, -1.93743, 
0.784, -0.908791, 0.0216124, 0.000333652, 0.00189674, 0.021665, 1.42907e-05, 0.00191351, 0.155649, -0.0118534, -10.3986, -0.105395, -6.32529, 0.00725904, 0.495492, -0.0222699, -0.428901, 2.32427, 1.27725, -1.748, 
0.786, -0.896884, 0.0216161, 0.000311229, 0.0019031, 0.0216687, -8.56064e-06, 0.0019211, 0.156731, -0.0118982, -10.3994, -0.0995478, -6.32269, 0.0040781, 0.497505, -0.0211321, -0.428236, 3.17224, 1.33243, -1.40892, 
0.788, -0.891234, 0.0216197, 0.000287829, 0.00191675, 0.0216724, -3.22776e-05, 0.00193573, 0.157816, -0.011941, -10.4001, -0.0922572, -6.32001, 0.00170733, 0.499604, -0.0202753, -0.427558, 3.85728, 1.35064, -0.942945, 
0.79, -0.892306, 0.0216233, 0.000265636, 0.00193723, 0.0216762, -5.52018e-05, 0.00195685, 0.158905, -0.0119824, -10.4008, -0.0839256, -6.3173, 0.000372081, 0.501728, -0.019767, -0.426858, 4.32739, 1.35699, -0.380029, 
0.792, -0.900305, 0.0216267, 0.000246633, 0.0019636, 0.0216802, -7.55659e-05, 0.00198343, 0.159998, -0.012023, -10.4016, -0.0750429, -6.31457, 0.000229764, 0.50381, -0.0196578, -0.426134, 4.53964, 1.37939, 0.242372, 
0.794, -0.915134, 0.02163, 0.000232479, 0.00199445, 0.0216842, -9.16529e-05, 0.00201403, 0.161095, -0.0120636, -10.4023, -0.0661607, -6.31175, 0.00135459, 0.505794, -0.0199744, -0.425397, 4.46626, 1.4401, 0.879106, 
0.796, -0.936368, 0.0216332, 0.000224416, 0.00202808, 0.0216883, -0.000101994, 0.00204694, 0.162196, -0.0121052, -10.403, -0.057852, -6.30875, 0.00372407, 0.50766, -0.0207083, -0.424662, 4.10289, 1.54798, 1.47925, 
0.798, -0.96324, 0.0216364, 0.000223201, 0.00206261, 0.0216924, -0.000105623, 0.0020803, 0.1633, -0.0121484, -10.4038, -0.0506576, -6.30551, 0.00721257, 0.509428, -0.0218085, -0.423946, 3.4747, 1.69393, 1.99119, 
0.8, -0.99468, 0.0216395, 0.000229218, 0.00209626, 0.0216966, -0.000102282, 0.00211239, 0.164408, -0.0121939, -10.4045, -0.0450289, -6.30196, 0.0115972, 0.51116, -0.0231842, -0.423265, 2.63543, 1.85242, 2.36994, 
0.802, -1.02941, 0.0216427, 0.000242539, 0.00212735, 0.0217007, -9.25236e-05, 0.00214164, 0.165519, -0.0122422, -10.4052, -0.0412819, -6.29811, 0.0165785, 0.512937, -0.0247193, -0.422621, 1.65824, 1.98958, 2.58411, 
0.804, -1.06609, 0.0216458, 0.0002629, 0.00215432, 0.0217048, -7.76353e-05, 0.00216663, 0.166633, -0.0122934, -10.406, -0.0395754, -6.29405, 0.0218104, 0.514833, -0.0262923, -0.42201, 0.622039, 2.07485, 2.61913, 
0.806, -1.10349, 0.021649, 0.000289549, 0.00217573, 0.0217088, -5.94405e-05, 0.00218603, 0.167751, -0.0123476, -10.4067, -0.0399143, -6.28988, 0.0269334, 0.516891, -0.0277931, -0.421414, -0.39953, 2.09092, 2.47584, 
0.808, -1.14061, 0.0216522, 0.00032122, 0.00219032, 0.0217128, -4.00939e-05, 0.00219874, 0.168873, -0.0124046, -10.4074, -0.0421669, -6.28574, 0.0316007, 0.519113, -0.0291281, -0.420815, -1.34185, 2.03797, 2.16641, 
0.81, -1.17677, 0.0216555, 0.000355991, 0.00219718, 0.0217166, -2.188e-05, 0.00220395, 0.169999, -0.0124639, -10.4081, -0.0460827, -6.28177, 0.0354983, 0.52146, -0.0302176, -0.420195, -2.14741, 1.93227, 1.71076, 
0.812, -1.21157, 0.0216589, 0.000391374, 0.00219597, 0.0217203, -7.01122e-06, 0.00220147, 0.17113, -0.0125251, -10.4088, -0.0513063, -6.27804, 0.0383586, 0.523868, -0.0309923, -0.419543, -2.76326, 1.80118, 1.13554, 
0.814, -1.24486, 0.0216623, 0.000424552, 0.00218715, 0.0217238, 2.59259e-06, 0.0021918, 0.172266, -0.0125875, -10.4096, -0.0573885, -6.27456, 0.0399756, 0.526262, -0.0313941, -0.418857, -3.14219, 1.67627, 0.475114, 
0.816, -1.27662, 0.0216659, 0.000452719, 0.002172, 0.0217272, 5.5147e-06, 0.00217633, 0.173406, -0.0126504, -10.4103, -0.0638064, -6.27129, 0.0402212, 0.528577, -0.0313847, -0.418143, -3.24887, 1.58522, -0.227562, 
0.818, -1.30684, 0.0216695, 0.000473456, 0.00215265, 0.0217305, 1.06999e-06, 0.00215719, 0.17455, -0.0127129, -10.411, -0.0699976, -6.26817, 0.0390611, 0.530774, -0.0309577, -0.417415, -3.06899, 1.54382, -0.921989, 
0.82, -1.33542, 0.0216732, 0.000485098, 0.00213182, 0.0217337, -1.06523e-05, 0.00213712, 0.175698, -0.0127743, -10.4117, -0.0754112, -6.26508, 0.0365656, 0.532858, -0.0301485, -0.416691, -2.61699, 1.55055, -1.55459, 
0.822, -1.36203, 0.0216769, 0.000487014, 0.00211249, 0.0217368, -2.88827e-05, 0.00211902, 0.176851, -0.0128339, -10.4124, -0.0795667, -6.26194, 0.0329091, 0.534873, -0.0290351, -0.415986, -1.93743, 1.58672, -2.07593, 
0.824, -1.38613, 0.0216807, 0.000479695, 0.00209746, 0.02174, -5.24561e-05, 0.00210562, 0.178007, -0.0128912, -10.4131, -0.0821051, -6.25874, 0.0283532, 0.536889, -0.027726, -0.415306, -1.09778, 1.62332, -2.44823, 
0.826, -1.40699, 0.0216844, 0.000464614, 0.00208896, 0.0217431, -8.00454e-05, 0.00209903, 0.179166, -0.012946, -10.4138, -0.0828191, -6.25549, 0.02322, 0.538971, -0.0263415, -0.414648, -0.175658, 1.63212, -2.64972, 
0.828, -1.4238, 0.0216881, 0.000443921, 0.00208851, 0.0217462, -0.000110276, 0.00210064, 0.18033, -0.0129981, -10.4145, -0.0816581, -6.25227, 0.0178591, 0.541162, -0.0249964, -0.414001, 0.752669, 1.59578, -2.6746, 
0.83, -1.43575, 0.0216917, 0.000420141, 0.00209675, 0.0217493, -0.000141713, 0.00211094, 0.181499, -0.0130477, -10.4152, -0.0787171, -6.24917, 0.0126192, 0.543466, -0.0237917, -0.413347, 1.61774, 1.51292, -2.52982, 
0.832, -1.44214, 0.0216953, 0.00039586, 0.0021136, 0.0217525, -0.000172803, 0.00212972, 0.182671, -0.0130952, -10.416, -0.0742208, -6.24627, 0.00782494, 0.545847, -0.0228152, -0.412674, 2.35679, 1.3974, -2.23207, 
0.834, -1.44246, 0.0216987, 0.000373531, 0.0021383, 0.0217558, -0.000201865, 0.00215611, 0.183849, -0.0131411, -10.4167, -0.068509, -6.2436, 0.00375882, 0.548247, -0.0221425, -0.411971, 2.9128, 1.27368, -1.80659, 
0.836, -1.43641, 0.0217021, 0.000355275, 0.00216948, 0.0217591, -0.000227137, 0.00218864, 0.185031, -0.0131859, -10.4174, -0.0620205, -6.24116, 0.000643249, 0.550598, -0.0218341, -0.411238, 3.23691, 1.16984, -1.28773, 
0.838, -1.42398, 0.0217053, 0.000342739, 0.00220528, 0.0217624, -0.000246903, 0.00222539, 0.186217, -0.0132306, -10.418, -0.0552688, -6.23888, -0.00137791, 0.552843, -0.0219268, -0.410484, 3.29508, 1.10941, -0.719128, 
